"logNu[1]","logNu[2]","logNu[3]","tauCopy","x[1]","x[2]","x[3]"
-3.26099837517575,2.19635468078218,1.58088200501986,0.152587570538639,18,23,20
-3.21358746309659,2.19550691075624,1.58239599092565,0.497539202066663,18,23,20
-3.25908209734827,2.19215905849358,1.57927452610139,0.378401379290759,18,23,20
-3.24720573735792,2.18178621631859,1.57136467543929,0.275014276061837,18,23,20
-3.24174583412421,2.18134524915158,1.56451371598935,0.175605390964167,18,23,20
-3.23822531716054,2.18816462385532,1.57362291599661,0.103350465283993,18,23,20
-3.21691243307869,2.1909383344647,1.5762608359603,0.0530202812504991,18,23,20
-3.28523234040144,2.18304396802809,1.56893294393172,0.0874533781870487,18,23,20
-3.23021860590907,2.18931001366887,1.57414686938675,0.0666697226369549,18,23,20
-3.22714132822974,2.19136012517424,1.57535757457825,0.175887796383386,18,23,20
-3.23945218948404,2.19394597582016,1.58015523967799,0.151304745747434,18,23,20
-3.22393727035652,2.19788041425701,1.58384123109567,0.0442288546676292,18,23,20
-3.21114895520431,2.19765884346028,1.58401522955436,0.178005034642491,18,23,20
-3.25466748970546,2.19122805240256,1.57684761627075,0.0182905989524258,18,23,20
-3.24383935072405,2.18966386377588,1.57843389438042,0.0459943274818618,18,23,20
-3.23098060476545,2.19408331238476,1.57723954997573,0.0535518420602136,18,23,20
-3.25425376530361,2.19738559289493,1.58329683009723,0.17481003938464,18,23,20
-3.26507007631634,2.20344439229774,1.59019571885769,0.382222735387698,18,23,20
-3.22253308835614,2.21130620542865,1.59721062654446,0.148847191735966,18,23,20
-3.25022000299852,2.2085523255617,1.59721062654446,0.149556747284924,18,23,20
-3.22805721137635,2.20169613789198,1.589735351939,0.198146502967865,18,23,20
-3.23943952422582,2.20296031779684,1.58565534607319,0.276208714844026,18,23,20
-3.24072348690736,2.19618459940797,1.58434694085561,0.592708792770862,18,23,20
-3.21878305771734,2.19441859442956,1.58054934608496,0.127767464891005,18,23,20
-3.2309475948813,2.19587798814988,1.57926433997003,0.134524746808619,18,23,20
-3.24417160138422,2.19657950779799,1.58466534665017,0.399424605931495,18,23,20
-3.2498030710836,2.19498586219583,1.58305613436978,0.235710074848668,18,23,20
-3.2479517319417,2.1963600837506,1.58249973408474,0.216680784682612,18,23,20
-3.23015498090933,2.20041623244423,1.5833094053474,0.024419073351043,18,23,20
-3.22946670438958,2.19040199154266,1.57727400658796,0.147439467664733,18,23,20
-3.24316574519615,2.20065803114995,1.58533012376852,0.0242376595365474,18,23,20
-3.25623262504787,2.1962124036465,1.57986161386321,0.0797994070384742,18,23,20
-3.18859007735133,2.19950059073972,1.58771323980452,0.277244000528515,18,23,20
-3.24795940606031,2.20126105658211,1.59093143583758,0.216818515301213,18,23,20
-3.21662326341241,2.20148548072857,1.58577322049724,0.0874331473190665,18,23,20
-3.229882941083,2.2012368196955,1.58872434736786,0.152714594258937,18,23,20
-3.25543174559981,2.20058094195792,1.58735290164858,0.130140395834366,18,23,20
-3.24456568878297,2.20037728685961,1.5842376018729,0.116490100676998,18,23,20
-3.25506330252992,2.19450345156907,1.5827694783086,0.208052236912865,18,23,20
-3.21445963010535,2.19893204039451,1.58477976491326,0.257461876988284,18,23,20
-3.20420051743552,2.20240781707895,1.58977972812915,0.350033215063927,18,23,20
-3.21664415920849,2.19885935627134,1.58666710550822,0.271451219275469,18,23,20
-3.22894926165309,2.20342280616358,1.58887669496052,0.0542570092687133,18,23,20
-3.24032973934283,2.2017943168881,1.58846553406098,0.125476975274739,18,23,20
-3.26011871274103,2.19518891924421,1.58198252210436,0.0310440276494358,18,23,20
-3.22434779129898,2.20016326559835,1.58705548016919,0.129222061088469,18,23,20
-3.25137529260714,2.19781419132927,1.58612589674809,0.14895458045617,18,23,20
-3.19928696841166,2.19966058332089,1.58625276726141,0.230013205849339,18,23,20
-3.21380817152547,2.20089315864,1.58568872010508,0.0783190010761435,18,23,20
-3.21566212435535,2.20474793563795,1.58970325420472,0.174088580035856,18,23,20
-3.2316020841397,2.20081709686997,1.58684798033396,0.327124714620692,18,23,20
-3.26918451395471,2.20196714665645,1.58517020477661,0.105377741150722,18,23,20
-3.19465394604965,2.20776994906301,1.59410332408481,0.115239191393259,18,23,20
-3.24666758205549,2.20676189901062,1.59301833224138,0.309405554572126,18,23,20
-3.17825150406634,2.21391032699608,1.59698698691942,0.591808493008503,18,23,20
-3.20427474320852,2.22276933707047,1.60583179242956,0.199022282929343,18,23,20
-3.22555329528901,2.22277534178754,1.60819437515472,0.0390988547321871,18,23,20
-3.1742893455892,2.21446140477509,1.60551207693726,0.0880146051247874,18,23,20
-3.21262185993518,2.22158846463861,1.60762602254718,0.0338520520783784,18,23,20
-3.18790514190434,2.2229252250048,1.60561968434169,0.289311960188537,18,23,20
-3.19172276388573,2.2262856799463,1.60980027903139,0.0836639565708583,18,23,20
-3.22934520293088,2.22134202393319,1.60918572516954,0.111213907661048,18,23,20
-3.20242286791302,2.22033697358512,1.60794439030076,0.207384535801735,18,23,20
-3.21977252350723,2.22401670732019,1.61122286860694,0.215094490389685,18,23,20
-3.20373302573693,2.22451083746537,1.60802277092146,0.0883448455526253,18,23,20
-3.17202505407186,2.22321518792762,1.61203820420946,0.0794494049680498,18,23,20
-3.17270085174137,2.22321518792762,1.61048002339921,0.0779594372877576,18,23,20
-3.24306798409905,2.22625100916781,1.61277272021652,0.0473564723091339,18,23,20
-3.18803488783116,2.22652159425062,1.61219457850676,0.191077971369185,18,23,20
-3.17955371693256,2.22647279515457,1.61365078467568,0.15739482798846,18,23,20
-3.21022763872136,2.22624138300995,1.60700455139202,0.201949477675241,18,23,20
-3.18865276138964,2.2254157019683,1.60661191726401,0.080673414807028,18,23,20
-3.20759999544921,2.22589953304292,1.61181928124422,0.368899237999234,18,23,20
-3.25004253203085,2.21903578196934,1.60576851505363,0.516149079165454,18,23,20
-3.23231906339049,2.22083621471274,1.60691552444898,0.0853995087503768,18,23,20
-3.18746051834461,2.22434098869945,1.60826394047732,0.0167008895924966,18,23,20
-3.21238899653044,2.23411848289287,1.61928179126639,0.306091914760375,18,23,20
-3.1946419914541,2.2336696921269,1.62066786425676,0.120084370333628,18,23,20
-3.18283305993468,2.232695235353,1.61919391778059,0.114550954081777,18,23,20
-3.20802859920079,2.23466400181621,1.61984139513656,0.064089633735374,18,23,20
-3.20616901423945,2.23518172511546,1.61868440148014,0.0321801128782729,18,23,20
-3.19754553966136,2.24861495574316,1.63631484328616,0.294339300356049,18,23,20
-3.16348754554117,2.2530539731248,1.63852274163713,0.504231808629026,18,23,20
-3.18477801489071,2.26071505153293,1.64850337289859,0.0888497135481904,18,23,20
-3.19350558139413,2.26281379831101,1.65118979374483,0.16319472293282,18,23,20
-3.17118827119847,2.25952681053919,1.64725153607673,0.0841088772380336,18,23,20
-3.18510455092284,2.25607879436109,1.64261867438177,0.097407019158873,18,23,20
-3.16368729436912,2.2603349798637,1.64629455311853,0.475494361840693,18,23,20
-3.19752927155855,2.26389321092853,1.64969064449547,0.244916332913517,18,23,20
-3.12304257817578,2.26792386474766,1.65370566095592,0.104759038282151,18,23,20
-3.17091349711912,2.27312067267659,1.65831072101075,0.151723845785557,18,23,20
-3.16592683623157,2.26867174792609,1.64929290805417,0.176403255954101,18,23,20
-3.16821878113111,2.26847990837365,1.65541209952188,0.113345676249248,18,23,20
-3.16678365185292,2.27018620010161,1.65464359462108,0.0791054131039562,18,23,20
-3.16635780587092,2.27037521289492,1.65567633040335,0.12323792212693,18,23,20
-3.19137525519889,2.273920287127,1.66059159260957,0.0643071904404045,18,23,20
-3.16538821548522,2.27925016449637,1.66300769504681,0.0617351290851565,18,23,20
-3.18677717382803,2.27842217037401,1.66379865116437,0.474846691138594,18,23,20
-3.15769779009016,2.28455332527602,1.6714402142731,0.265649528215946,18,23,20
-3.19842988099607,2.28301781208308,1.66130343542713,0.028412051264789,18,23,20
-3.1549878457249,2.28082079130031,1.66490740883261,0.206871802563861,18,23,20
-3.12189343126663,2.28397642821019,1.66751726957854,0.144028498196215,18,23,20
-3.19116138867968,2.27958444688338,1.66447031552012,0.0204933195237769,18,23,20
-3.13104344591203,2.2764331247341,1.66553559572768,0.47734680720291,18,23,20
-3.13338391970648,2.27641123124036,1.66507923686285,0.111757919777929,18,23,20
-3.16696968143575,2.27461861708781,1.66264756054237,0.126881026181742,18,23,20
-3.1645645456995,2.27588580183084,1.66244232874625,0.0748169847761486,18,23,20
-3.13909209708343,2.27801769741563,1.66379048638985,0.11333958424723,18,23,20
-3.16887404045803,2.27618060957138,1.65597397458731,0.183713739822414,18,23,20
-3.18227852209814,2.26347137074785,1.64763679781952,0.0199105606752724,18,23,20
-3.18759163563084,2.2654085204808,1.64821365712918,0.203836977467263,18,23,20
-3.16386897710639,2.26490052922125,1.64819322710744,0.114084169594658,18,23,20
-3.17163911280509,2.26499485536158,1.65321082791532,0.114745772907355,18,23,20
-3.18147792879126,2.26282268665346,1.65000701403527,0.0161740605250585,18,23,20
-3.16160034404416,2.26081341933051,1.64717391858421,0.0973503497157609,18,23,20
-3.17905562657309,2.26266283744655,1.6483347307929,0.101248088900306,18,23,20
-3.14465513873311,2.2659562190851,1.64909735282815,0.33972984607592,18,23,20
-3.15726674170516,2.26106234984703,1.64905273402489,0.12373718833924,18,23,20
-3.16356272776102,2.26825481123819,1.65045313463784,0.0988119633408256,18,23,20
-3.18565761536256,2.25962738936272,1.64681573389792,0.0741265778843362,18,23,20
-3.17948625802144,2.26620480975466,1.65158053522726,0.01060772770787,18,23,20
-3.16521790878256,2.2635342209285,1.65254941456887,0.176152617009378,18,23,20
-3.16333534303306,2.26408234408528,1.6531135893024,0.073556632004845,18,23,20
-3.156721669426,2.26411032229475,1.65224272395441,0.0815009938659682,18,23,20
-3.18833995288228,2.26392047436576,1.64976396740294,0.278457484069685,18,23,20
-3.15534831828828,2.26147488112285,1.64670981638359,0.276144890959392,18,23,20
-3.15076854375859,2.25901205603289,1.64546642612937,0.0875444440371766,18,23,20
-3.14201807694076,2.26231789609998,1.64874470132651,0.124934373073879,18,23,20
-3.14744008490959,2.26807686733706,1.65231181570488,0.570869033548363,18,23,20
-3.19219250255413,2.2687674278328,1.6595583340447,0.215317092725242,18,23,20
-3.13309242591998,2.27315391233317,1.6603963795904,0.143841297679052,18,23,20
-3.17861907559955,2.27486499988742,1.66139966559593,0.145599778208415,18,23,20
-3.15450399852389,2.28011510544596,1.66532323228586,0.0441574031580556,18,23,20
-3.14881566080935,2.28454667056521,1.66833297359296,0.2594771236417,18,23,20
-3.13908589567397,2.28066104029979,1.66681878596177,0.419442258719803,18,23,20
-3.10571240516602,2.27991048337302,1.66568195105908,0.0719466889812167,18,23,20
-3.16523855010558,2.27687745521152,1.66240720403054,0.111026658257454,18,23,20
-3.14007686532303,2.27728854710028,1.6631681812546,0.474042672556104,18,23,20
-3.13277684589872,2.28228111034162,1.67216341886482,0.208651691792141,18,23,20
-3.13435897338268,2.28815042609603,1.67212033210847,0.129286613629038,18,23,20
-3.1067838807482,2.29104362718948,1.6756971626402,0.0759969371541897,18,23,20
-3.14273893202755,2.29134495177031,1.67665376273647,0.0401637983723391,18,23,20
-3.13540985399302,2.28300069371903,1.66956329909037,0.16745129348227,18,23,20
-3.15398112965119,2.27523026600182,1.66191631061138,0.279633632641982,18,23,20
-3.11304019394528,2.28385930655188,1.66909671026309,0.0352315425626478,18,23,20
-3.16169474856847,2.28495986158656,1.66700927427873,0.0749144536118119,18,23,20
-3.168847244135,2.27760603231183,1.66448894262384,0.0921203583553797,18,23,20
-3.1619529705299,2.27315748672072,1.65793306410841,0.223112275721623,18,23,20
-3.14813706133333,2.26991032015434,1.65476822731242,0.182909253462067,18,23,20
-3.17590316859175,2.27219392125769,1.65683550643419,0.0305363764992109,18,23,20
-3.18048931984204,2.26838238726895,1.65336147136365,0.33438047617679,18,23,20
-3.14139725800066,2.26637356781236,1.65095029823364,0.0963360868820024,18,23,20
-3.19841386342235,2.26584447598438,1.65120783925145,0.192602765200576,18,23,20
-3.17320105490659,2.26483062498522,1.6505285141142,0.0455402561390936,18,23,20
-3.16915208367953,2.26013222059729,1.64648947525545,0.139006936674061,18,23,20
-3.18113721120477,2.26340045282841,1.65242456988843,0.0422599293821538,18,23,20
-3.14008573884277,2.27093082507753,1.65919064324825,0.015088483838261,18,23,20
-3.19348960164923,2.26962591587732,1.65732438179962,0.121791378161258,18,23,20
-3.17714330788822,2.26980951347695,1.65483062795033,0.207359770385595,18,23,20
-3.15339263837678,2.26545685797237,1.65401787316606,0.197286528510049,18,23,20
-3.14762815240795,2.27084535546887,1.65924238043095,0.0336480702697744,18,23,20
-3.1802246894658,2.27325343990362,1.65628600475427,0.128926018234952,18,23,20
-3.14528514428495,2.26698231118697,1.6540338092532,0.264301814786178,18,23,20
-3.19405952156083,2.26909591183444,1.65596808895165,0.412769550677493,18,23,20
-3.14288223480319,2.27037485395268,1.65494686774505,0.12017327709681,18,23,20
-3.16042224235284,2.26713000349198,1.65374850860349,0.380346371965185,18,23,20
-3.1762653637411,2.26935406945637,1.65903053880406,0.0315366967144653,18,23,20
-3.1532382014601,2.26945148926335,1.65311420171883,0.0323760686114219,18,23,20
-3.19308242565086,2.2627736007262,1.65053246556967,0.0026838863963642,18,23,20
-3.19216010775679,2.26559320130698,1.64770843653503,0.0166631494545328,18,23,20
-3.18866848644602,2.26136002613089,1.64912443385349,0.100404002432974,18,23,20
-3.16338997702051,2.26165997252599,1.64999486505981,0.0973687417834732,18,23,20
-3.15455052361952,2.27058148103954,1.65897553595835,0.045558008407958,18,23,20
-3.17569885149373,2.27156443193756,1.65747741240014,0.36246788005287,18,23,20
